object,size,brand,drybox
Beam Steering Instrument 2 ct.,Medium,Newport,1
"Unbranded OAP Mirror, no adjusters, see image",Medium,n/a,1
"Unbranded OAP Mirror, with adjusters, short, see image, 2ct.",Medium,n/a,1
"Unbranded OAP Mirror, with adjusters, long, see image",Medium,n/a,1
"Unbranded OAP Mirror, no adjusters, wide, see image",Medium,n/a,1
"Unspecified Mirror, with adjusters",Medium,Daedal Inc.,1
Aerotech Lense with adjusters,Medium,Aerotech,1
Some sort of dial????,Medium,n/a,1
"Unbranded Lense with dial adjusters, see image",Small-Medium,n/a,1
?? Lense or mirror with adjusters ??,Small-Medium,Oriel,1
"Unbranded small mirror on rotator, see image",Small,n/a,1
"Unbranded OAP Mirror, damaged + scratched",Medium,n/a,1
Looks like it would hold a mirror or lense ??,Small,"Has Logo, unsure",1
"Ubranded OAP Mirror, Near Mint Condition",Medium,n/a,1
Beam Steering Instrument,Medium,Edmund,1
CO2 focusing mirror,Small,n/a,1
Prism/Lense? With Adjusters,Small,Newport,1
"Small Loose Mirror, 2ct.",Small,n/a,1
"Small Mirror on Plate, 5 ct.",Small,n/a,1
Small Mirror on Knob,Small/Medium,n/a,1
Large Mirror on Plate,Very Large,n/a,1
Extra Adjuster in Bag for Newport Mirrors,Medium,Newport,1
"Adjuster Knob not attached to mirror, 2 ct.",Small,n/a,1
Gold Anvil looking thing ????????,Large + Very Heavy,n/a,1
"Vacuum Containers, Blue, 2 ct.",Large,Cryogenics Associates,1
Ge Lamb Dip,2.0 inch,Fulton?,1
Prisms KRS-5,Medium,n/a,1
"Lenses, 2 ct.",Small,Laser Optics Inc.,1
Optical Filter,2545 nm wavelength,Spectrogon,1
Optical Filter,4300 nm wavelength,Spectrogon,1
"Two Large, Flat, Carefully Packaged Mirrors",Large,n/a,1
Three Loose Knobs in Bags for Newport Mirrors,"Small, Bagged",Newport,1
Al2O3 coated mirror?,Small,Saphire,1
Ge coated mirror,19mm x 1mm,Laser Optics Inc.,1
Unspecified Coated Mirror,Small,Saphire,1
"Open-Face Mounted Filter, 2 ct.",2400nm peak wavelength,ARC,1
Ge Lens,1.1 inch diameter,II-VI,1
ZnSe Window,1.0in x .079in,II-VI,1
Si Reflector,1.0in x .120in,II-VI,1
Round Pyrex Mirror,1.0in + 1/5 wave,Newport,1
Round Pyrex Mirror,1.0in + 1/20 wave,Newport,1
ZnSe Beamsplitter,2.0in x .200in,II-VI,1
ZnSe B.A. Window,1/40 wave,Janos or Janis?,1
Large Bagged Mirror with adjusters,Large,n/a,1
ZnSe Lens,8 inch at 10.6 micron,n/a,1
Large Circular mirrors in box,Large,n/a,1
These things in box?????,?,?,1
ERFLE Eypiece,Medium,US Optical Corporation,1
Gold Plated Segments,"Small, 2pcs","n/a, H-1412",1
"CIO coated windows, 2 ct.",Medium,n/a,1
"Various Tubes, presumably for laser/gas",Large,n/a,1
